Feature ID	kingdom	phylum	class	order	family	genus	species	Confidence
672af60f88a8b79744aea4f488e9387d	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Dialister		1.0
92d9cecd6c4859eea2ed4c7545739153	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Megasphaera		0.999730406395
679f9c9afe9599e4d217b46abd14978d	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.935162460553
fd7ff6285d55aeb2e62f8eba97f2346c	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			0.999999505103
ff1c5a2bd063828fb9f3958e02e992b3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Eggerthella	lenta	0.999737168808
f49d0e409f89dd484612e8bfdca682af	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.878849807406
a22a9de8e0f85eb677ed80f9e49f9543	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	dispar	0.891062995506
adc0718d53708e7bcbe357846a012106	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	infantis	0.746224362137
b14d2f41a40254e760d2b57346b73e90	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.999999434338
deb6e55acf63244c8e399f35e449cc5c	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.999999632359
e29c07f205f42f295a6509d3c9a83fbd	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	producta	0.994298775208
100e835fe9f25ff092068530d916a8ef	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			0.943061532082
9c78d681134e5af78925dcc9104d0626	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	parvula	0.850004572637
8ec45a132e3b881d7f50da5feac3627a	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae			0.999999956105
583217c12656f298cd53936fd41470c0	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella		0.999998355983
e1636ed570ed81d82479d38d30026666	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.981013600867
bb2d4b63f0e7793d7ac5632211e8a1e7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia		0.999938964344
655548668589ee00b6764a14a2ceee04	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus	gnavus	0.999854808745
c5b570c6e090c585271f17280ca68b92	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			0.999999999946
2f5b378576362d58f81800f322507780	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus		0.865399212381
079b64047290ff423d680d4856c8a0a8	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Eubacterium	dolichum	0.999999999988
3c3a2810046a6ca2c8b258fc64ffd699	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium		0.998862301266
18cbd8db27e47b4e59e0e1612c5398af	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			0.865469905151
